id,x,y
738,1612977.58,4841234.39
739,1612977.93,4841368.83
740,1612978.32,4841379.04
741,1612978.49,4842168.09
742,1612978.933,4841333.089
743,1612979.694,4841487.643
744,1612980.82,4841135.24
745,1612981.23,4842210.68
746,1612982.48,4842257.82
747,1612984.2,4841462.69
748,1612985.18,4841047.45
749,1612986.83,4842340.37
750,1612987.82,4841054.64
751,1612987.82,4841131.06
752,1612988.87,4840909.14
753,1612988.91,4842369.2
754,1612989.445,4841439.852
755,1612989.84,4840094.41
756,1612990.14,4841039.34
757,1612990.81,4840918.85
758,1612990.98,4840491.14
759,1612991.13,4842427.83
760,1612991.31,4841328.93
761,1612991.82,4840791.67
762,1612992.04,4842452.64
763,1612992.43,4841429.78
764,1612993.31,4840132.01
765,1612997.76,4841125.18
766,1613000,4840980.35
767,1613000.222,4841387.845
768,1613000.66,4841369.38
769,1613002.47,4840843.61
770,1613004.633,4841443.857
771,1613004.91,4840125.48
772,1613005.052,4841363.556
773,1613006.586,4842169.206
774,1613007.706,4841369.609
775,1613007.846,4842191.869
776,1613011.08,4841117.07
777,1613015.17,4840534.3
778,1613015.41,4840633.41
779,1613015.58,4840935.84
780,1613015.581,4841626.809
781,1613015.88,4841506.79
782,1613016.26,4841562.4
783,1613016.62,4841596.64
784,1613017.09,4842256.41
785,1613017.86,4841494.88
786,1613020,4841023
787,1613020.24,4841211.91
788,1613024.82,4841356.66
789,1613026.501,4841107.997
790,1613026.71,4841713.55
791,1613029.26,4841066.22
792,1613029.28,4841364.37
793,1613033.96,4841385.46
794,1613036.32,4841123.02
795,1613036.822,4841474.24
796,1613036.837,4840047.142
797,1613038.136,4841504.886
798,1613039.04,4841016.05
799,1613039.26,4840959.77
800,1613040.532,4841100.048
801,1613042.94,4842120.8
802,1613045.48,4841096.58
803,1613049.42,4841115.54
804,1613049.47,4841343.5
805,1613049.684,4841438.992
806,1613051.647,4840586.216
807,1613051.73,4841121.71
808,1613052.5,4841908.85
809,1613054.35,4841475.67
810,1613054.806,4841507.353
811,1613055.28,4841540.23
